,LSTAT,RM,DIS,RAD=7,PTRATIO,TAX,INDUS,CRIM,CHAS=0,NOX,B,AGE,ZN,RAD=5,RAD=3,RAD=4,RAD=24,CHAS=1,RAD=2,RAD=6,RAD=8,RAD=1
0,-4.570469213041263,2.763389992326959,-2.0013552598303535,0.7552713222116444,-0.69170998143218,-0.5982276414418012,-0.36157843064307715,0.33590020936515314,-0.16143211327936313,-0.12477226178908475,0.018800422108947105,-0.0061015243281224265,0.0020849289367865925,,,,,,,,,
1,-3.8087064089972396,3.6179298907990476,-0.46145431117572266,,-0.5362942397244609,-0.3848811547514061,-0.27466109039104963,0.4646106619673517,0.13719146101039464,-0.046379556169661565,0.08290839199027,-0.0879210753922314,-0.037166774992117124,0.07684069885306068,,,,,,,,
2,-2.424483470069293,1.3085233750006287,-0.20313482215943693,,-0.4120085379794634,-0.323736127582344,-0.20295341823029273,-0.5549400127105087,-0.2960540632511568,-0.18769409241076024,0.3152779015358582,-0.2123961065006111,0.00160558723334661,,-0.1512386092729052,,,,,,,
3,-3.146186411227378,1.6743799699688187,-0.41937628753292716,,-0.3908233197910907,-0.5808843225396795,-0.22617977694247351,0.7682929559043422,-0.20056422093289558,0.06332249240244296,0.05945807452969715,-0.030119404037640317,0.04099476685000447,,,-0.13535802608997075,,,,,,
4,-7.3596971587842495,0.30305170274940557,-4.018330441273002,,-0.056727745460891155,0.026095929625584005,-0.06077080900625075,0.6158044392700297,-0.050401725180341854,-0.19226508481558732,0.05604670739311395,0.2003173792503328,0.07612536170818159,,,,0.3041988264216391,,,,,
5,-6.3269434456699765,1.2829239088402378,-2.7906210859340543,,-0.16196543025102603,-0.08901270613757543,-0.18318577335497532,0.29553926412796483,0.20729442816402965,-0.33660536155042015,0.08410104013527864,0.027244991807474094,0.032795331764817894,,,0.02515045541587672,,,,,,
6,-3.131011333169293,3.316293093948162,-0.9637374791958526,,-0.41343253048087203,-0.6780461486791034,-0.14586177198782282,0.7136349746477789,-0.03940131353133299,0.016923644970581173,0.09467132584315838,-0.011389319262275125,0.07092779907348745,,,-0.09802834958205014,,,,,,
7,-4.456395513262412,1.473332877552591,-1.1305206243343542,,-0.3424857886212368,-0.43024973360162444,-0.1595854852565484,0.07159947453456117,0.09623580817434547,-0.259292552042703,0.03817329661935598,-0.03156580287521834,0.046965075816364395,,,-0.029086914710873248,,,,,,
8,-3.854375151300969,1.1355373046764496,-1.0178477289030265,,-0.27539437630832225,-0.348815713937673,-0.05979887373556551,-0.4666424626962722,,-0.5924474791641448,0.17398110986466048,-0.1801355015345086,0.00207587766955994,0.0537524221536795,,,,0.16862654113552436,,,,
9,-4.563173734605861,2.299487008131694,-2.5286499450770847,,-0.5235431448423652,-0.7401207977946701,-0.30048800474810317,0.5367454634800586,-0.17366307250986737,-0.0635047542804419,0.012994395098460553,0.0394068883857132,0.053581520526824446,,,,,,-0.13156765078226945,,,
10,-5.506531711771245,1.9422571976187208,-2.2685972663992184,,-0.48131779551093185,-0.08648115919243032,0.01016495956055182,0.43370598622648054,0.12418374340222785,-0.20022854607607576,-0.005216603489223974,-0.01790422523149636,-0.027919042812428976,,,,0.02217928561210738,,,,,
11,-3.359691364400378,4.375828052270597,-0.26693571831230634,,-0.596761961203627,-0.4207214160283777,-0.20036186799792188,0.47196238167363347,-0.10407955040899795,-0.032525047889383145,0.028207493739201818,-0.11550935801526042,0.003807829679688097,0.11960394184830858,,,,,,,,
12,-4.675814496726471,0.91729299933611,-2.3767582174865862,,-0.3069115044927709,-0.12373382147260115,-0.07197807091911056,-0.04104878636684405,-0.0029285453866845198,-0.24485290727024434,0.16161470570323738,-0.14241056799684437,0.007151185127026317,,,,,,,-0.3481730672137776,,
13,-2.954413758577777,1.3750997652551793,-0.3765640183180543,,-0.24387193247716515,-0.6316355786193305,-0.31104458553657305,0.4831511871703207,-0.038461462120167496,0.029945082286729808,0.14683471479895877,-0.03405733042727441,-0.021004291432629447,,,-0.151640322537898,,,,,,
14,-5.342490449110408,1.30030736550711,-2.68614831838669,,-0.33159214755115285,-0.431465352985045,-0.23712671684073505,0.3387895900650603,-0.3524257829428673,-0.17888137204987614,-0.041160394791698154,0.09192606877491132,-0.04860776548981565,,,-0.2025510593257929,,,,,,
15,-9.333335647255986,0.24743668522164114,-3.592724243106799,,-0.12118895704442378,-0.04368457867351454,0.14538704194282917,0.11279280624356634,-0.6173062302001247,-0.4434265043063437,-0.0657418598273959,0.07193488870483178,0.003523067001548857,,,,0.3065185449574977,,,,,
16,-3.2399046284682305,1.51439737125233,-0.19145725248286102,,-0.28847740148841244,-0.1852874223813522,-0.05596932254507782,-0.9199782077996193,-0.14069084252789105,-2.013291346372673,0.07414008895512302,-0.24670357841121973,-0.005924970256814115,,,,-0.07139825959754167,,,,,
17,-4.790411899910506,0.2040700703319903,-0.3508817447467547,,-1.8139570401018021,-0.40888814638377097,-0.24226848778550492,-0.5337926499713134,0.11162266939289403,-0.16795226021308543,-0.02940470928464596,-0.2205702344603509,0.018561167866915453,,,,,,,,0.18891418774158117,
18,-3.0741642130645284,2.5776859886424286,-0.5149933306490854,,-0.1961319251736252,-0.5520940033463475,-0.28880268489879735,0.8008404103422609,-0.3509083091031975,0.07694878604357996,0.10610661179709724,-0.004284260759489429,-0.048504187984508194,,,,,,-0.15605086542242633,,,
19,-0.7974668498437386,0.12132105703115097,0.4215420601135085,,0.020586992502260655,-0.17058542863991694,-0.09123435775681991,-1.6734438307647344,-0.13427632489676158,-0.12291179663937479,0.10592516750570935,-0.3786478564758169,-0.002416136464730939,-0.042977965848445154,,,,,,,,
20,-4.192140470536714,0.965212455551975,-1.7229212828417348,,-0.3665272322883658,-0.5298537678607947,-0.17423660153211418,0.34438578737351005,-0.2715942559801287,-0.1488480997803046,0.12193564284342887,-0.16184965904437976,0.04152882397413027,,,-0.08700273230903481,,,,,,
21,-6.61370528330188,0.5058796990697836,-1.706704397604278,,-0.07549670004132389,-0.12099218820853425,-0.06031745982848477,-0.7112452056589987,-0.19109976148576927,-0.048639550276052816,0.11827570746567255,-0.06940038582159076,0.004082556035809082,-0.009779478947245488,,,,,,,,
22,-4.826319565724074,2.4269535751580436,-1.8787545378025239,,-0.5591521586972413,-0.5052927472200728,-0.1330652154635377,0.39651494635534873,-0.11696442864530196,-0.1957550531648137,0.030164906998124782,0.07442120214041417,0.02961969215534953,,,0.024603967247983968,,,,,,
23,-3.590202296696808,2.6419635883581796,-1.2677409503033732,,-0.48609087820404656,-0.6571093836208864,-0.12444740481018067,0.6495732710807044,-0.02959695352446167,-0.0659431130643888,-0.04743619611318265,-0.24400283590303767,0.010284576450454818,-0.030166741495040585,,,,,,,,
24,-2.811275259145333,3.094415071905369,-0.3853987716933676,,-0.2965464735640829,-0.567176954081455,-0.21479820583579148,0.9426371943951352,-0.07909079213434203,0.05240425513338192,0.0285675034784938,0.05067321134443667,0.005312388924520483,,,0.07061276624776006,,,,,,
25,-2.3915573272463404,0.633967479742629,-0.26923624017963776,,-0.2060402361130063,-0.15326346620971873,-0.0522702510267474,-0.8241623172009804,-0.3439210308793237,-1.7533386719633433,0.06949386074588465,-0.09104652493690348,-7.650994032476628e-05,,,,0.06516237804577046,,,,,
