5.501767344726996578e-01,2.172336856454543774e+00,6.644138925477786062e-01
3.338217349408258539e+00,1.130074014193832799e+00,1.296371032536022705e+00
1.909040931162836685e+00,3.226437416316489948e+00,1.618947416130543049e+00
4.827438380269470031e+00,3.765656800288548656e+00,6.296608682820611369e-01
2.114400152732360816e+00,1.360982044969620830e+00,1.218645664859474786e+00
2.864821113033112265e+00,1.092088246070588964e+00,1.342250360481237248e+00
2.637725474327329511e+00,1.376722641517824419e+00,1.483232506699960984e+00
4.765885025403542308e+00,4.489503118445446361e+00,1.443241811728370294e+00
8.857414466666703179e-01,1.791055704070273036e+00,4.125137986761854281e-01
4.408921005569723661e+00,3.085341056143164451e+00,6.545099420403986956e-01
4.519480630357211481e+00,1.700144675176130382e-01,8.755497130410194728e-01
1.256313537789525148e+00,2.218225512568923641e+00,1.321871057737267208e+00
4.005263215638428242e+00,1.563402834354994830e+00,1.287128972567520790e+00
3.328559716184327222e+00,3.491343965832101048e+00,2.601752588115125775e+00
2.945043999279262636e-01,4.657900175826694245e+00,8.569394195595061436e-01
1.304098063830262610e+00,1.658709277702386631e+00,5.770113964878436086e-01
2.736826574630996767e+00,3.819254862659280381e+00,1.199895339808993988e+00
3.040993987038189239e+00,1.376185511562361130e+00,1.517810149818545229e+00
2.723109474083440062e+00,3.234716487931883488e+00,1.307777548911692289e+00
1.025264003280938141e+00,2.633450262110180073e+00,1.229403722563081836e+00
4.548022252192452264e+00,1.795112343483970863e+00,1.162521134462733974e+00
3.855863154880210253e+00,4.335550998353252083e+00,8.399750543331839792e-01
1.923205392198184427e+00,2.607678692853497626e+00,1.817377509229209043e+00
1.239662401384077128e+00,2.785511717302938450e+00,1.425461084215059460e+00
8.196682631817687747e-01,3.289542737016147633e+00,1.144923456722810817e+00
2.741599620750858168e+00,2.995142227083363640e+00,2.114200678645633769e+00
4.109747268125806485e+00,2.788429878889820301e+00,1.063042465461713215e+00
