,LSTAT,RM,DIS,PTRATIO,TAX,NOX,CRIM,INDUS,RAD=7,CHAS=0,B,AGE,ZN,RAD=5,RAD=3,RAD=4,RAD=24,CHAS=1,RAD=2,RAD=6,RAD=8,RAD=1
0,-4.795584163418343,2.0988213102731907,-1.5763667022345493,-0.4386520385454185,-0.30710435505562067,-0.3039398814727848,0.27777470968413037,-0.21892352265757292,0.12111362989581424,-0.07885087162980707,0.0788387252046185,-0.07367983821782782,0.03435650086853845,,,,,,,,,
1,-4.465215977962236,2.002370295478904,-1.1880367455038556,-0.3955709930306336,-0.24997579517886226,-0.22529860600657625,0.16969768953683034,-0.05852039397131816,,-0.2861325415690001,0.10521225650186394,-0.12987823445376853,0.02475360918098674,0.011792141948049029,,,,,,,,
2,-4.222244420160762,1.7438001718878675,-1.22940541025323,-0.4621711300770472,-0.2894334431317979,-0.3467431117012081,-0.018614814393729886,-0.17392405251222023,,0.11675382248588861,0.1187334571432009,-0.18385542495156737,0.012746712015748564,,0.14365252748526972,,,,,,,
3,-4.350947237177164,1.7280713716654077,-1.17315757015696,-0.38958379857854064,-0.2922880245878586,-0.18231399572329254,0.07497729091374764,-0.12974622259249485,,-0.23328288322593768,0.1182586351167946,-0.07302308846202643,0.031641812953271835,,,0.044431869491624386,,,,,,
4,-4.791608690438296,1.5921010517397625,-1.7001388859253292,-0.37944343384827234,-0.15956014764004123,-0.28723865825038286,0.16643608291018525,-0.00821980266083418,,0.09324947730373045,0.06354607688795125,-0.17727707275891363,0.04637182136803778,,,,0.22400956245052042,,,,,
5,-4.895198897354917,1.809556293646549,-1.610353059724229,-0.39449465048917615,-0.32292070158381403,-0.2777097806684956,0.13837512190927975,-0.11467169281278003,,-0.29140467255536323,0.07891522611608219,-0.28012561573008404,-0.014082624965645201,,,0.10096424085723724,,,,,,
6,-4.640236542748744,2.013718514362896,-1.4994337836182632,-0.4148700798686859,-0.32875134922122656,-0.18385754617672045,0.20059535454351146,-0.19418249154518596,,-0.00011669211076291274,0.019985094897460993,-0.12525492211400113,-0.02215755567343509,,,-0.04525276936167742,,,,,,
7,-4.6024285812027825,1.757007035200273,-1.3326294781352714,-0.3347335042186577,-0.29060197104356267,-0.24544329194119477,-0.0074421353378245,-0.20312931677337887,,0.023985529229183046,0.10475146233724322,-0.07943680382562739,-0.022785924071222118,,,-0.02838532302115137,,,,,,
8,-4.382524742607382,1.7172735406700794,-1.3349238292228005,-0.3238535818555138,-0.2806206323924021,-0.31294646416146715,-0.015054263406458155,-0.1056635123814364,,,0.19638374982087023,-0.23539107224497402,-0.03502315273168742,0.06059734592287748,,,,0.21147524093063796,,,,
9,-4.628307035991668,1.8605193239544242,-1.4924440377301418,-0.32734598863530184,-0.26458759223357453,-0.1888375318649478,0.12356688487211215,-0.11374130163987638,,0.12566027132838792,0.15543115065504337,-0.18972483103398927,0.12186350964731822,,,,,,-0.21579836280566556,,,
10,-4.827320793489561,1.9404633718977762,-1.4831142684377763,-0.37660379736344657,-0.1943076805779745,-0.19090382613813153,0.1840101747781247,-0.01217786182948863,,-0.13460002891530165,0.08632213934099102,-0.04897360950396046,-0.011670694364166082,,,,0.10403831714027442,,,,,
11,-4.622141697149357,2.071453684703875,-1.2510378711496424,-0.450946993196202,-0.3066612170773694,-0.27714946032740917,0.1557427804868966,-0.15896752155727523,,0.12589417495640084,0.18712883556142965,-0.1263974438328208,-0.037103637189752445,-0.03751674782272394,,,,,,,,
12,-4.533680629643092,1.6974684142548633,-1.532329531758346,-0.3941421585407095,-0.27223292514774733,-0.22686118996654644,0.08960656534471606,-0.025098156608384596,,0.14386928351338657,0.20864415641503184,-0.10849593675997865,-0.011241872391305044,,,,,,,0.2857375786523948,,
13,-4.403874737835094,1.6927888688047061,-1.1784521328661262,-0.36366708887222293,-0.26744146218611403,-0.29764033900281406,0.16235616237832215,-0.2029205808919442,,-0.4024889907802445,0.17707373644154933,-0.13103325508978614,-0.04758474057251434,,,-0.22641021539651862,,,,,,
14,-4.725873787778488,1.787114729764047,-1.451727167084984,-0.4525311111294478,-0.18407458895563353,-0.4017404052235273,0.03276664653848337,-0.1898000975055838,,0.04474492363724896,0.09623942081824123,-0.04033158387694217,0.11175418783285034,,,0.01756576231282637,,,,,,
15,-5.035367495029921,1.6061244363027283,-1.6374190337180992,-0.4339089500953872,-0.22240352284425113,-0.40437103081034625,0.056086111401993495,-0.04229148960194593,,-0.16445659303310267,0.1703932427143671,-0.19784776400738763,-0.031459783860243194,,,,0.4502515025820796,,,,,
16,-4.968608256710689,1.7451454160580968,-1.4023831881470237,-0.41426083119559387,-0.28112678977170713,-0.468572929931187,-0.14545696613252312,-0.06439181438356398,,-0.205865642861658,0.14865069922651672,-0.10181953183743087,0.04185171497915976,,,,0.2119007222944853,,,,,
17,-4.884980629839355,2.418202423114587,-1.3864252774105277,-0.41712468326597985,-0.3248211061878248,-0.3018983811502667,0.14311779462251298,-0.18638561273342757,,-0.14076830253565437,0.11172200253310142,-0.08394689241746472,-0.0271864012197935,,,,,,,,0.21076174934486175,
18,-4.514050593735708,1.920883581409729,-1.2983447361327416,-0.2940031916436606,-0.2669866001873449,-0.22729603368106446,0.17798067224691758,-0.1383338626378873,,-0.4236309384938497,0.14544407836429732,-0.055790248015062015,-0.0681007094417555,,,,,,-0.11620105277974206,,,
19,-4.408091261816119,1.4619316503622655,-1.3227437279188345,-0.2898051801578978,-0.24908604172283474,-0.4152908044871801,-0.09261909807405772,-0.2289164821991948,,-0.37673635995546906,0.16931641252926471,-0.20327383576635927,0.1090387369945665,-0.027461383097700368,,,,,,,,
20,-4.549549589386836,1.6629261203828252,-1.470973582501143,-0.3510120411920828,-0.3549499953714912,-0.2568477343695813,0.11607118323140643,-0.15307795516797285,,-0.336231739306105,0.014033575732754813,-0.1183979848688022,-0.043430134076883946,,,-0.006521949790445223,,,,,,
21,-5.0240574276609085,1.5440442790839128,-1.5308422882657766,-0.31890386873507937,-0.16320314352574603,-0.40871470353861666,-0.007040030603735428,-0.10562416015826293,,-0.03385239279815447,0.20381455822425493,-0.17916794120489127,0.07980885456531811,-0.00924066576240348,,,,,,,,
22,-4.743223617747157,1.8660874733371804,-1.5130217608901726,-0.4617660249832465,-0.3354751964485319,-0.28003456201821386,0.17336207940079254,-0.1678396386645885,,-0.0758053027971416,-0.02775469524850599,-0.20171118303861305,-0.024083126288127688,,,-0.17103289432133198,,,,,,
23,-4.6584441451161,1.8789489355021372,-1.4857863586098545,-0.3680590221372337,-0.18760656255542357,-0.24981330186517467,0.260855873195044,-0.08511835863394275,,-0.16900471386814234,0.09744506733791779,-0.12156524985047056,-0.05741787120238251,-0.06004034981503569,,,,,,,,
24,-4.422551202536303,1.8125599613263064,-1.2457754119526279,-0.36907421539739077,-0.3640978424170203,-0.2935918418093386,0.15297277184483826,-0.17415501461588292,,-0.06673197254343806,0.09509414373364596,-0.07654933935674367,0.017935659078042142,,,-0.06203249451659993,,,,,,
25,-4.739172174676555,1.613280708877193,-1.313548147692193,-0.39533877591094,-0.23639676044019087,-0.43996544824797185,-0.21542690360806158,-0.10400264421744922,,0.24818100124336617,0.1501314909911112,-0.20968744706194578,0.10519357560352492,,,,0.026673661146428888,,,,,
26,-4.509120923183562,1.7772438747970944,-1.331519897300685,-0.44008612739264164,-0.3778701391078364,-0.43234036621919003,-0.07679602060933921,-0.11504473572979766,,0.1725592114933409,0.10580732058514097,-0.09988935634120381,-0.02823770608337842,,,-0.06538039422424571,,,,,,
